Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.,Helen Keller,"['Hope', 'Achievement', 'Faith', 'Confidence']"
Top 10,Life,"['Quotes', 'View the list', ""Life's most persistent and urgent question is, 'What are you doing for others?'"", 'Martin Luther King, Jr.']"
"Martin Luther King, Jr.",You,"['Doing', 'Others', 'Question', 'The art of living is more like wrestling than dancing.']"
Marcus Aurelius,Art,"['Living', 'More', 'Like', 'Dancing']"
"Not life, but good life, is to be chiefly valued.",Socrates,"['Good', 'Good Life', 'Valued', 'Chiefly']"
"Open your eyes, look within. Are you satisfied with the life you're living?",Bob Marley,"['Eyes', 'You', 'Look', 'Your']"
You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.,Albert Camus,"['Happiness', 'Be Happy', 'You', 'Happy']"
"What is important in life is life, and not the result of life.",Johann Wolfgang von Goethe,"['Result', 'Important', 'As a well-spent day brings happy sleep, so a life well spent brings happy death.', 'Leonardo da Vinci']"
Day,Sleep,"['Happy', 'Well-Spent', 'The shoe that fits one person pinches another; there is no recipe for living that suits all cases.', 'Carl Jung']"
Carl Jung,Suits,"['Person', 'Living', 'Shoe', ""If you love life, don't waste time, for time is what life is made up of.""]"
Bruce Lee,Love,"['Time', 'You', 'Love Life', 'A man who dares to waste one hour of time has not discovered the value of life.']"
Charles Darwin,Time,"['Man', 'Value', 'Value Of Life', 'Waste']"
Life is what happens while you are busy making other plans.,John Lennon,"['You', 'Busy', 'Happens', 'Plans']"
"When I stand before God at the end of my life, I would hope that I would not have a single bit of talent left, and could say, 'I used everything you gave me'.",Erma Bombeck,"['Hope', 'God', 'Me', 'You']"
A life is not important except in the impact it has on other lives.,Jackie Robinson,"['Important', 'Impact', 'Except', 'Other']"
"To me, if life boils down to one thing, it's movement. To live is to keep moving.",Jerry Seinfeld,"['Me', 'Live', 'Moving', 'Down']"
The true secret of happiness lies in taking a genuine interest in all the details of daily life.,William Morris,"['Happiness', 'Daily', 'True', 'Genuine']"
The chief danger in life is that you may take too many precautions.,Alfred Adler,"['You', 'Danger', 'May', 'Take']"
Lord Byron,Life,"['Clouds', 'Tomorrow', 'Evening', 'Too often we underestimate the power of a touch, a smile, a kind word, a listening ear, an honest compliment, or the smallest act of caring, all of which have the potential to turn a life around.']"
Leo Buscaglia,Life,"['Power', 'Caring', 'Underestimate', 'A smile is the light in your window that tells others that there is a caring, sharing person inside.']"
Denis Waitley,Light,"['Caring', 'Window', 'Person', 'A smile is a curve that sets everything straight.']"
Phyllis Diller,Everything,"['Straight', 'Curve', 'Sets', ""They might not need me; but they might. I'll let my head be just in sight; a smile as small as mine might be precisely their necessity.""]"
Emily Dickinson,Me,"['Small', 'Need', 'Sight', 'A smile abroad is often a scowl at home.']"
Alfred Lord Tennyson,Home,"['Abroad', 'Often', 'We shall never know all the good that a simple smile can do.', 'Mother Teresa']"
Simple,Never,"['Know', 'Shall', 'Jesus wept; Voltaire smiled. From that divine tear and from that human smile is derived the grace of present civilization.', 'Victor Hugo']"
Victor Hugo,Grace,"['Present', 'Civilization', 'Human', 'Top 10']"
Quotes,View the list,"['Look back, and smile on perils past.', 'Walter Scott', 'Past', 'Look']"
Back,Perils,"['But God can only smile because only God can know what is coming next.', 'Desmond Tutu', 'God', 'Know']"
Next,Only,"['Coming', 'A warm smile is the universal language of kindness.', 'William Arthur Ward', 'Kindness']"
Language,Warm,"['Universal', ""Courage, not compromise, brings the smile of God's approval."", 'Thomas S. Monson', 'God']"
Courage,Compromise,"['Approval', 'Wear a smile and have friends; wear a scowl and have wrinkles.', 'George Eliot', 'Friends']"
Wear,Wrinkles,"['A smile is the chosen vehicle of all ambiguities.', 'Herman Melville', 'Vehicle', 'Chosen']"
"Laughter is day, and sobriety is night; a smile is the twilight that hovers gently between both, more bewitching than either.",Henry Ward Beecher,"['Day', 'Night', 'Laughter', 'More']"
Smile in the mirror. Do that every morning and you'll start to see a big difference in your life.,Yoko Ono,"['Life', 'Morning', 'Mirror', 'You']"
Start,Wrinkles will only go where the smiles have been.,"['Jimmy Buffett', 'Go', 'Will', 'Smiles']"
Wrinkles,"A kind heart is a fountain of gladness, making everything in its vicinity freshen into smiles.","['Washington Irving', 'Heart', 'Everything', 'Fountain']"
Smiles,"Let my soul smile through my heart and my heart smile through my eyes, that I may scatter rich smiles in sad hearts.","['Paramahansa Yogananda', 'Sad', 'Eyes', 'Heart']"
Soul,"If you smile when no one else is around, you really mean it.","['Andy Rooney', 'You', 'Mean', 'Really']"
Around,Else,"['A gentle word, a kind look, a good-natured smile can work wonders and accomplish miracles.', 'William Hazlitt', 'Work', 'Look']"
Miracles,Gentle,"['The happiness of life is made up of minute fractions - the little, soon forgotten charities of a kiss or a smile, a kind look or heartfelt compliment.', 'Samuel Taylor Coleridge', 'Life', 'Happiness']"
Look,Kiss,"[""What sunshine is to flowers, smiles are to humanity. These are but trifles, to be sure; but scattered along life's pathway, the good they do is inconceivable."", 'Joseph Addison', 'Life', 'Good']"
Sunshine,Humanity,"[""I'm really exciting. I smile a lot, I win a lot, and I'm really sexy."", 'Serena Williams', 'Sexy', 'Win']"
Really,Exciting,"['Lot', ' \xa0 Loading...', 'Load more quotes', 'Prev']"
A man's friendships are one of the best measures of his worth.,Charles Darwin,"['Best', 'Man', 'Worth', 'Friendships']"
Never contract friendship with a man that is not better than thyself.,Confucius,"['Man', 'Better', 'Never', 'Contract']"
True friendship can afford true knowledge. It does not depend on darkness and ignorance.,Henry David Thoreau,"['Knowledge', 'Darkness', 'Ignorance', 'True']"
Love is blind; friendship closes its eyes.,Friedrich Nietzsche,"['Love', 'Eyes', 'Love Is', 'Blind']"
"Friendship is unnecessary, like philosophy, like art... It has no survival value; rather it is one of those things that give value to survival.",C. S. Lewis,"['Art', 'Value', 'Survival', 'Philosophy']"
"I cannot even imagine where I would be today were it not for that handful of friends who have given me a heart full of joy. Let's face it, friends make life a lot more fun.",Charles R. Swindoll,"['Life', 'Me', 'Heart', 'Today']"
"Friendship marks a life even more deeply than love. Love risks degenerating into obsession, friendship is never anything but sharing.",Elie Wiesel,"['Life', 'Love', 'Risks', 'Never']"
"In everyone's life, at some time, our inner fire goes out. It is then burst into flame by an encounter with another human being. We should all be thankful for those people who rekindle the inner spirit.",Albert Schweitzer,"['Life', 'Time', 'Thankful', 'Fire']"
Top 10,Friendship,"['Quotes', 'View the list', 'When we honestly ask ourselves which person in our lives means the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand.', 'Henri Nouwen']"
Henri Nouwen,Pain,"['Giving', 'Warm', 'Person', 'The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing... not healing, not curing... that is a friend who cares.']"
Henri Nouwen,Moment,"['Friend', 'Grief', 'Not Knowing', 'Remember that the most valuable antiques are dear old friends.']"
"H. Jackson Brown, Jr.",Old Friends,"['Friends', 'Remember', 'Old', 'Of all possessions a friend is the most precious.']"
Friend,Precious,"['Possessions', 'Most', 'Rare as is true love, true friendship is rarer.', 'Jean de La Fontaine']"
Jean de La Fontaine,Love,"['True Love', 'True Friendship', 'True', 'A friend in power is a friend lost.']"
Henry Adams,Power,"['Friend', 'Lost', 'The sincere friends of this world are as ship lights in the stormiest of nights.', 'Giotto di Bondone']"
Lights,Friends,"['Ship', 'It is more shameful to distrust our friends than to be deceived by them.', 'Confucius', 'Friends']"
More,Deceived,"['Than', 'The only way to have a friend is to be one.', 'Ralph Waldo Emerson', 'Friend']"
Way,Only,"['A friend may well be reckoned the masterpiece of nature.', 'Ralph Waldo Emerson', 'Nature', 'Friend']"
Masterpiece,Well,"['It is one of the blessings of old friends that you can afford to be stupid with them.', 'Ralph Waldo Emerson', 'You', 'Old Friends']"
Old Friends,Stupid,"['Friends', ""A man's growth is seen in the successive choirs of his friends."", 'Ralph Waldo Emerson', 'Man']"
Friends,Seen,"['His', 'The most I can do for my friend is simply be his friend.', 'Henry David Thoreau', 'Friend']"
I Can,My Friend,"['Most', 'The language of friendship is not words but meanings.', 'Henry David Thoreau', 'Words']"
Language,Meanings,"[""Friends... they cherish one another's hopes. They are kind to one another's dreams."", 'Henry David Thoreau', 'Dreams', 'Friends']"
Cherish,Kind,"['Hopes', 'A man cannot be said to succeed in this life who does not satisfy one friend.', 'Henry David Thoreau', 'Life']"
Man,Friend,"['Succeed', ' \xa0 Loading...', 'Load more quotes', 'Prev']"
"Look deep into nature, and then you will understand everything better.",Albert Einstein,"['You', 'Look', 'Understand', 'Better']"
Our task must be to free ourselves by widening our circle of compassion to embrace all living creatures and the whole of nature and its beauty.,Albert Einstein,"['Beauty', 'Compassion', 'Free', 'Circle']"
"Nature will bear the closest inspection. She invites us to lay our eye level with her smallest leaf, and take an insect view of its plain.",Henry David Thoreau,"['Leaf', 'View', 'Eye', 'Will']"
In all things of nature there is something of the marvelous.,Aristotle,"['Things', 'Something', 'All Things', 'Marvelous']"
"God has cared for these trees, saved them from drought, disease, avalanches, and a thousand tempests and floods. But he cannot save them from fools.",John Muir,"['God', 'Trees', 'Fools', 'Disease']"
Autumn is a second spring when every leaf is a flower.,Albert Camus,"['Flower', 'Leaf', 'Autumn', 'Spring']"
"It is not light that we need, but fire; it is not the gentle shower, but thunder. We need the storm, the whirlwind, and the earthquake.",Frederick Douglass,"['Light', 'Fire', 'Storm', 'Need']"
"Words, like nature, half reveal and half conceal the soul within.",Alfred Lord Tennyson,"['Soul', 'Words', 'Like', 'Half']"
Top 10,Nature,"['Quotes', 'View the list', 'The butterfly counts not months but moments, and has time enough.', 'Rabindranath Tagore']"
Rabindranath Tagore,Time,"['Butterfly', 'Moments', 'Enough', ""My soul can find no staircase to Heaven unless it be through Earth's loveliness.""]"
Soul,My Soul,"['Heaven', 'Find', 'Let the rain kiss you. Let the rain beat upon your head with silver liquid drops. Let the rain sing you a lullaby.', 'Langston Hughes']"
Langston Hughes,Rain,"['You', 'Kiss', 'Your', 'Beat']"
There is nothing in a caterpillar that tells you it's going to be a butterfly.,R. Buckminster Fuller,"['You', 'Butterfly', 'Nothing', 'Going']"
"Wherever you go, no matter what the weather, always bring your own sunshine.",Anthony J. D'Angelo,"['Sunshine', 'You', 'Weather', 'Matter']"
"O, wind, if winter comes, can spring be far behind?",Percy Bysshe Shelley,"['Winter', 'Wind', 'Spring', 'Behind']"
"The sea, once it casts its spell, holds one in its net of wonder forever.",Jacques Yves Cousteau,"['Sea', 'Wonder', 'Forever', 'Once']"
"With every drop of water you drink, every breath you take, you're connected to the sea. No matter where on Earth you live. Most of the oxygen in the atmosphere is generated by the sea.",Sylvia Earle,"['Sea', 'Water', 'You', 'Matter']"
"The very winds whispered in soothing accents, and maternal Nature bade me weep no more.",Mary Shelley,"['Me', 'More', 'Very', 'Winds']"
Weep,I think that I shall never see a poem lovely as a tree.,"['Joyce Kilmer', 'Tree', 'Think', 'Never']"
See,"In the Spring, I have counted 136 different kinds of weather inside of 24 hours.","['Mark Twain', 'Weather', 'Spring', 'Inside']"
Different,"Solitary trees, if they grow at all, grow strong.","['Winston Churchill', 'Grow', 'Strong', 'Trees']"
Solitary,The earth laughs in flowers.,"['Ralph Waldo Emerson', 'Flowers', 'Earth', 'Laughs']"
Nature always wears the colors of the spirit.,Ralph Waldo Emerson,"['Colors', 'Always', 'Spirit', 'Wears']"
"When nature has work to be done, she creates a genius to do it.",Ralph Waldo Emerson,"['Work', 'Genius', 'Done', 'She']"
Creates,"Occurrences in this domain are beyond the reach of exact prediction because of the variety of factors in operation, not because of any lack of order in nature.","['Albert Einstein', 'Reach', 'Beyond', 'Because']"
Nelson Mandela,Change,"['You', 'World', 'Change The World', 'It is the mark of an educated mind to be able to entertain a thought without accepting it.']"
Mind,Thought,"['Educated', 'Without', 'Mark', 'Learning is not attained by chance, it must be sought for with ardor and diligence.']"
"Learning is not attained by chance, it must be sought for with ardor and diligence.",Abigail Adams,"['Learning', 'Chance', 'Diligence', 'Must']"
A person who won't read has no advantage over one who can't read.,Mark Twain,"['Person', 'Who', 'Over', 'Advantage']"
I have no special talent. I am only passionately curious.,Albert Einstein,"['I Am', 'Talent', 'Curious', 'Special']"
The philosophy of the school room in one generation will be the philosophy of government in the next.,Abraham Lincoln,"['Government', 'School', 'Generation', 'Will']"
"Education is an admirable thing, but it is well to remember from time to time that nothing that is worth knowing can be taught.",Oscar Wilde,"['Time', 'Remember', 'Nothing', 'Worth']"
"My mother said I must always be intolerant of ignorance but understanding of illiteracy. That some people, unable to go to school, were more educated and more intelligent than college professors.",Maya Angelou,"['Mother', 'People', 'Ignorance', 'School']"
Top 10,Education,"['Quotes', 'View the list', 'An investment in knowledge pays the best interest.', 'Benjamin Franklin']"
Benjamin Franklin,Best,"['Knowledge', 'Investment', 'Interest', 'The function of education is to teach one to think intensively and to think critically. Intelligence plus character - that is the goal of true education.']"
"Martin Luther King, Jr.",Character,"['Intelligence', 'Think', 'True', 'I would rather entertain and hope that people learned something than educate people and hope they were entertained.']"
Walt Disney,Hope,"['People', 'Something', 'Entertain', 'The only fence against the world is a thorough knowledge of it.']"
John Locke,Knowledge,"['World', 'Only', 'Fence', 'Against']"
"Don't limit a child to your own learning, for he was born in another time.",Rabindranath Tagore,"['Learning', 'Time', 'Child', 'Born']"
Education is the key to unlock the golden door of freedom.,George Washington Carver,"['Freedom', 'Door', 'Key', 'Golden']"
Education is what survives when what has been learned has been forgotten.,B. F. Skinner,"['Forgotten', 'Been', 'Learned', 'Survives']"
Give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime.,Maimonides,"['Day', 'Man', 'You', 'Fish']"
I tell students that the opportunities I had were a result of having a good educational background. Education is what allows you to stand out.,Ellen Ochoa,"['Good', 'You', 'Result', 'Stand']"
"In the first place, God made idiots. That was for practice. Then he made school boards.",Mark Twain,"['God', 'School', 'Practice', 'Place']"
It is a miracle that curiosity survives formal education.,Albert Einstein,"['Curiosity', 'Miracle', 'Formal', 'Survives']"
The only thing that interferes with my learning is my education.,Albert Einstein,"['Learning', 'Only', 'The Only Thing', 'Thing']"
"Reading, after a certain age, diverts the mind too much from its creative pursuits. Any man who reads too much and uses his own brain too little falls into lazy habits of thinking.",Albert Einstein,"['Man', 'Age', 'Mind', 'Thinking']"
Intellectual growth should commence at birth and cease only at death.,Albert Einstein,"['Death', 'Growth', 'Birth', 'Intellectual']"
Only,Any man who reads too much and uses his own brain too little falls into lazy habits of thinking.,"['Albert Einstein', 'Man', 'Thinking', 'Brain']"
Own,The things I want to know are in books; my best friend is the man who'll get me a book I ain't read.,"['Abraham Lincoln', 'Best', 'Me', 'Man']"
